date,times
11/1/2021,02:15
11/2/2021,03:13
11/5/2021,02:12
11/7/2021,02:50
11/8/2021,02:36
11/9/2021,02:33
11/11/2021,02:28
11/12/2021,02:30
11/13/2021,02:32
11/15/2021,02:22
11/16/2021,01:54
11/19/2021,02:05
11/21/2021,02:34
11/28/2021,02:59
11/29/2021,02:56
11/30/2021,04:00
12/1/2021,03:58
12/4/2021,03:42
12/9/2021,02:15
12/10/2021,02:41
12/12/2021,02:32
12/13/2021,02:52
12/15/2021,05:18
12/19/2021,02:19
12/24/2021,03:30
12/26/2021,02:58
12/31/2021,03:05
1/2/2022,04:07
1/9/2022,02:59
1/10/2022,02:25
1/11/2022,03:43
1/12/2022,03:24
1/13/2022,03:33
1/14/2022,02:51
1/15/2022,02:54
1/17/2022,02:26
1/18/2022,03:12
1/20/2022,02:50
1/21/2022,03:06
1/22/2022,03:17
1/24/2022,03:05
1/26/2022,03:26
1/27/2022,02:50
1/28/2022,03:52
1/30/2022,03:26
1/31/2022,02:28
2/1/2022,02:42
2/5/2022,03:19
2/7/2022,03:14
2/8/2022,02:23
2/9/2022,03:00
2/10/2022,02:53
2/11/2022,02:43
2/14/2022,03:25
2/15/2022,02:55
2/16/2022,02:33
2/22/2022,05:05
2/27/2022,03:10
2/28/2022,09:17
3/2/2022,02:35
3/7/2022,02:32
3/8/2022,02:34
3/11/2022,02:23
3/13/2022,02:23
3/17/2022,04:14
3/20/2022,06:59
3/23/2022,03:06
3/28/2022,03:02
3/30/2022,02:56
4/1/2022,02:40
4/7/2022,02:51
4/11/2022,03:08
4/20/2022,02:47
4/26/2022,04:22
5/17/2022,03:16
5/22/2022,03:37
5/25/2022,03:43
6/1/2022,03:06
6/6/2022,03:17
6/7/2022,03:15
6/10/2022,04:41
6/16/2022,04:13
6/22/2022,03:51
6/28/2022,03:09
7/7/2022,04:01
7/11/2022,03:09
7/23/2022,04:50
7/25/2022,03:01
8/1/2022,04:01
8/16/2022,03:06
8/21/2022,04:01
8/22/2022,02:39
9/7/2022,05:06
9/9/2022,02:58
9/15/2022,03:33
9/24/2022,03:45
9/27/2022,03:35
10/3/2022,04:30
10/10/2022,04:04
10/11/2022,03:45
10/18/2022,04:15
10/28/2022,03:59
11/1/2022,03:11
11/5/2022,03:12
11/7/2022,03:31
11/9/2022,02:56
11/30/2022,02:56
12/6/2022,03:38
12/18/2022,06:50
12/19/2022,03:00
1/1/2023,02:51
1/8/2023,08:28
1/9/2023,04:10
1/11/2023,05:27
1/12/2023,03:09
1/16/2023,03:10
1/20/2023,04:02
1/22/2023,02:23
1/23/2023,03:34
1/24/2023,03:07
1/25/2023,03:10
1/27/2023,03:21
1/29/2023,02:37
2/2/2023,03:03
2/3/2023,03:08
2/4/2023,02:22
2/5/2023,02:57
2/6/2023,03:47
2/7/2023,04:13
2/9/2023,02:40
2/10/2023,02:42
2/12/2023,03:23
2/14/2023,03:15
2/17/2023,03:16
2/20/2023,03:32
2/23/2023,02:58
2/24/2023,03:44
2/25/2023,03:53
2/26/2023,03:25
2/27/2023,02:21
2/28/2023,03:10
3/1/2023,03:00
3/3/2023,04:24
3/4/2023,03:05
3/6/2023,03:10
3/7/2023,03:49
3/8/2023,03:21
3/9/2023,03:13
3/10/2023,02:38
3/12/2023,02:32
3/13/2023,03:46
3/14/2023,03:13
3/16/2023,02:56
3/17/2023,03:05
3/19/2023,02:38
3/21/2023,03:00
3/24/2023,03:34
3/27/2023,03:41
3/29/2023,03:57
4/2/2023,03:06
4/3/2023,03:03
4/4/2023,02:55
4/6/2023,03:09
4/7/2023,02:58
4/8/2023,03:24
4/9/2023,02:44
4/10/2023,04:14
4/11/2023,02:45
4/12/2023,03:50
4/13/2023,02:51
4/15/2023,02:50
4/16/2023,
4/17/2023,03:38
4/19/2023,03:44
4/20/2023,04:39
4/21/2023,02:46
4/24/2023,03:11
4/25/2023,02:33
4/27/2023,03:00
5/1/2023,03:22
5/3/2023,02:36
5/4/2023,
5/6/2023,03:18
5/8/2023,03:51
5/10/2023,03:34
5/12/2023,03:05
5/14/2023,02:47
5/18/2023,03:10
5/21/2023,04:04
5/23/2023,03:14
5/25/2023,03:03
5/28/2023,03:42
5/29/2023,02:58
5/30/2023,03:49
6/15/2023,03:06
6/21/2023,03:49
6/27/2023,02:25
6/29/2023,03:28
7/3/2023,02:31
7/6/2023,03:17
7/8/2023,02:23
7/9/2023,02:57
7/18/2023,02:19
7/19/2023,03:00
7/26/2023,02:55
8/3/2023,03:37
8/5/2023,03:05
8/7/2023,03:46
8/13/2023,04:40
8/14/2023,02:54
8/15/2023,03:18
8/16/2023,03:05
8/28/2023,02:43
9/1/2023,03:36
9/5/2023,02:57
9/6/2023,03:01
9/14/2023,03:01
9/16/2023,02:52
9/19/2023,03:08
9/21/2023,04:24
9/26/2023,03:13
10/1/2023,03:07
10/2/2023,02:54
10/6/2023,02:55
10/7/2023,03:12
10/11/2023,03:58
10/13/2023,02:33
10/16/2023,03:00
10/21/2023,02:36
10/25/2023,03:04
10/31/2023,03:40
11/1/2023,02:42
11/16/2023,03:56
12/3/2023,03:58
12/4/2023,03:09
12/20/2023,04:33
1/2/2024,03:00
1/3/2024,03:19
1/5/2024,03:08
1/8/2024,03:39
1/11/2024,02:49
1/12/2024,02:44
1/15/2024,04:51
1/21/2024,03:45
1/22/2024,02:55
2/3/2024,03:13
2/12/2024,02:47
2/19/2024,02:25
2/20/2024,03:49
2/21/2024,02:53
2/23/2024,05:36
2/24/2024,03:02
2/25/2024,03:30
2/26/2024,04:40
2/27/2024,03:25
2/28/2024,03:27
